NutrientID,NutrientSymbol,NutrientUnit,NutrientName
203,PROT,g,PROTEIN
204,FAT,g,FAT (TOTAL LIPIDS)
205,CARB,g,"CARBOHYDRATE, TOTAL (BY DIFFERENCE)"
207,ASH,g,"ASH, TOTAL"
208,KCAL,kCal,ENERGY (KILOCALORIES)
810,STAR,g,STARCH
210,SUCR,g,SUCROSE
211,GLUC,g,GLUCOSE
212,FRUC,g,FRUCTOSE
213,LACT,g,LACTOSE
214,MALT,g,MALTOSE
221,ALCO,g,ALCOHOL
245,OXAL,mg,OXALIC ACID
255,H2O,g,MOISTURE
260,MANN,g,MANNITOL
261,SORB,g,SORBITOL
262,CAFF,mg,CAFFEINE
263,THBR,mg,THEOBROMINE
268,KJ,kJ,ENERGY (KILOJOULES)
269,TSUG,g,"SUGARS, TOTAL"
287,GAL,g,GALACTOSE
291,TDF,g,"FIBRE, TOTAL DIETARY"
301,CA,mg,CALCIUM
303,FE,mg,IRON
304,MG,mg,MAGNESIUM
305,P,mg,PHOSPHORUS
306,K,mg,POTASSIUM
307,NA,mg,SODIUM
309,ZN,mg,ZINC
312,CU,mg,COPPER
315,MN,mg,MANGANESE
317,SE,µg,SELENIUM
319,RT-µG,µg,RETINOL
814,RAE,µg,RETINOL ACTIVITY EQUIVALENTS
321,BC-µG,µg,BETA CAROTENE
834,AC-µG,µg,ALPHA CAROTENE
323,ATMG,mg,ALPHA-TOCOPHEROL
324,D-IU,IU,VITAMIN D (INTERNATIONAL UNITS)
876,D2-µG,µg,"VITAMIN D2, ERGOCALCIFEROL"
339,D3+D2-µG,µg,VITAMIN D (D2 + D3)
835,CRYPX,µg,BETA CRYPTOXANTHIN
836,LYCPN,µg,LYCOPENE
837,LUT+ZEA,µg,LUTEIN AND ZEAXANTHIN
811,BTMG,mg,BETA-TOCOPHEROL
812,GTMG,mg,GAMMA-TOCOPHEROL
813,DTMG,mg,DELTA-TOCOPHEROL
401,VITC,mg,VITAMIN C
404,THIA,mg,THIAMIN
405,RIBO,mg,RIBOFLAVIN
406,N-MG,mg,NIACIN (NICOTINIC ACID) PREFORMED
409,N-NE,NE,TOTAL NIACIN EQUIVALENT
410,PANT,mg,PANTOTHENIC ACID
415,B6,mg,VITAMIN B-6
416,BIOT,µg,BIOTIN
417,FOLA,µg,TOTAL FOLACIN
418,B12,µg,VITAMIN B-12
862,CHOLN,mg,"CHOLINE, TOTAL"
